"Df","SumOfSqs","R2","F","Pr(>F)"
"body.site",3,1.26577157645465,0.0319467751091904,0.946030166092803,0.95
"Residual",86,38.3554913562948,0.96805322489081,NA,NA
"Total",89,39.6212629327495,1,NA,NA
